From,To,Length(m),Azimuth(deg),Clino(deg)
33@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.52,297.15,77.90
33@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.94,132.05,-68.40
33@hyperborium_cave_north_from_main_bh_complete.Mountaineye,34@hyperborium_cave_north_from_main_bh_complete.Mountaineye,4.38,267.95,-2.80
34@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.82,306.75,19.10
34@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.20,144.65,19.40
34@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.96,190.95,8.50
34@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,3.17,211.85,6.70
34@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.68,126.15,-71.50
34@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.68,190.75,75.00
34@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.80,28.35,12.80
34@hyperborium_cave_north_from_main_bh_complete.Mountaineye,35@hyperborium_cave_north_from_main_bh_complete.Mountaineye,7.19,210.35,-0.30
35@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.39,192.25,26.10
35@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.96,345.05,12.50
35@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,3.48,272.75,5.10
35@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,5.65,291.75,3.20
35@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.45,304.05,11.00
35@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.77,265.35,76.50
35@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.49,81.95,-81.90
35@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.60,88.55,11.70
35@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.82,29.05,10.50
35@hyperborium_cave_north_from_main_bh_complete.Mountaineye,36@hyperborium_cave_north_from_main_bh_complete.Mountaineye,9.64,297.65,1.60
36@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,5.87,236.65,3.70
36@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.53,197.25,8.70
36@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.52,145.75,2.30
36@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.60,323.85,30.70
36@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.97,98.15,7.70
36@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,6.07,113.15,3.30
36@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.59,63.45,88.50
36@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.72,189.85,-58.70
36@hyperborium_cave_north_from_main_bh_complete.Mountaineye,37@hyperborium_cave_north_from_main_bh_complete.Mountaineye,2.23,220.95,-1.60
37@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,5.07,239.65,4.40
37@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,4.36,260.75,10.20
37@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.79,293.95,8.10
37@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,4.65,319.45,0.00
37@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.09,163.95,23.60
37@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.74,263.55,71.20
37@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.19,334.45,-54.20
37@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.94,292.25,12.20
37@hyperborium_cave_north_from_main_bh_complete.Mountaineye,38@hyperborium_cave_north_from_main_bh_complete.Mountaineye,3.62,243.75,6.20
38@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.74,329.55,4.60
38@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,5.28,340.55,4.60
38@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.02,29.95,7.00
38@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,4.10,211.75,2.40
38@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,4.15,144.35,28.70
38@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.15,115.05,14.00
38@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.31,284.95,21.70
38@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,6.01,144.05,20.20
38@hyperborium_cave_north_from_main_bh_complete.Mountaineye,39@hyperborium_cave_north_from_main_bh_complete.Mountaineye,3.10,143.65,19.50
39@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.63,53.55,11.10
39@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.67,123.45,7.30
39@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,5.75,139.65,7.90
39@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,3.58,169.85,12.50
39@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.62,218.25,21.30
39@hyperborium_cave_north_from_main_bh_complete.Mountaineye,40@hyperborium_cave_north_from_main_bh_complete.Mountaineye,7.31,302.15,-3.90
40@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.65,49.65,21.10
40@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,5.59,226.65,21.20
40@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,4.01,171.25,13.20
40@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,6.37,289.95,18.10
40@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,8.72,329.75,6.00
40@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.45,14.15,74.30
40@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.84,82.55,-60.20
40@hyperborium_cave_north_from_main_bh_complete.Mountaineye,41@hyperborium_cave_north_from_main_bh_complete.Mountaineye,7.36,318.95,5.00
41@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.97,43.25,7.70
41@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,4.77,328.65,43.60
41@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,4.48,249.95,58.80
41@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.28,232.15,21.20
41@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,4.52,182.85,14.90
40@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,8.62,224.55,6.50
40@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,3.96,0.25,7.00
40@hyperborium_cave_north_from_main_bh_complete.Mountaineye,42@hyperborium_cave_north_from_main_bh_complete.Mountaineye,2.24,43.85,-63.40
42@hyperborium_cave_north_from_main_bh_complete.Mountaineye,43@hyperborium_cave_north_from_main_bh_complete.Mountaineye,1.83,3.85,-46.20
43@hyperborium_cave_north_from_main_bh_complete.Mountaineye,44@hyperborium_cave_north_from_main_bh_complete.Mountaineye,4.17,33.45,-11.80
3@hyperborium_cave_north_from_main_bh_complete.Mountaineye,45@hyperborium_cave_north_from_main_bh_complete.Mountaineye,6.61,271.35,9.50
45@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.26,325.45,-15.90
45@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,4.70,271.25,-1.90
45@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.86,140.35,-22.20
45@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,3.45,209.85,-7.00
45@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,6.42,92.15,-10.80
45@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,4.22,28.75,-11.30
45@hyperborium_cave_north_from_main_bh_complete.Mountaineye,46@hyperborium_cave_north_from_main_bh_complete.Mountaineye,13.28,234.45,-0.20
46@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,4.33,346.75,2.40
46@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,5.09,314.05,1.70
46@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,6.38,30.65,2.90
46@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,5.58,259.65,3.30
46@hyperborium_cave_north_from_main_bh_complete.Mountaineye,47@hyperborium_cave_north_from_main_bh_complete.Mountaineye,7.71,296.35,-0.00
47@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.78,225.05,13.30
47@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.34,320.45,73.70
47@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.83,45.75,3.40
47@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.21,102.65,-81.20
47@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.62,293.65,1.40
47@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,15.16,329.15,-2.10
47@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,3.56,338.75,-1.20
12@hyperborium_cave_north_from_main_bh_complete.Mountaineye,48@hyperborium_cave_north_from_main_bh_complete.Mountaineye,6.28,83.75,-12.50
48@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.44,322.35,22.00
48@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.88,39.65,2.90
48@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.02,145.25,-15.90
48@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,4.50,217.15,6.60
48@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,5.91,239.35,3.50
48@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,5.02,61.25,-4.50
48@hyperborium_cave_north_from_main_bh_complete.Mountaineye,49@hyperborium_cave_north_from_main_bh_complete.Mountaineye,3.11,51.55,-8.50
49@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,3.10,133.35,-21.90
49@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,3.29,67.45,9.20
49@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.69,33.05,20.20
49@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.46,318.45,24.60
49@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.06,203.85,6.30
49@hyperborium_cave_north_from_main_bh_complete.Mountaineye,50@hyperborium_cave_north_from_main_bh_complete.Mountaineye,3.55,116.05,-17.70
50@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.46,349.95,18.90
50@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,3.51,28.95,2.80
50@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,6.15,42.85,4.60
50@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,4.55,234.25,4.50
50@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.86,229.65,4.90
50@hyperborium_cave_north_from_main_bh_complete.Mountaineye,51@hyperborium_cave_north_from_main_bh_complete.Mountaineye,8.62,46.15,5.00
51@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.92,133.15,-11.60
51@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.95,211.65,-6.90
51@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.56,244.35,-14.60
51@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,4.39,45.95,-2.00
51@hyperborium_cave_north_from_main_bh_complete.Mountaineye,52@hyperborium_cave_north_from_main_bh_complete.Mountaineye,1.69,93.45,-17.50
52@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.68,132.25,12.30
52@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.97,190.45,6.70
52@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.77,115.75,34.60
52@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.68,84.45,32.60
52@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.56,62.75,8.90
52@hyperborium_cave_north_from_main_bh_complete.Mountaineye,53@hyperborium_cave_north_from_main_bh_complete.Mountaineye,1.89,91.55,27.80
53@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.75,155.15,-13.50
53@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.52,91.95,-10.60
53@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.46,315.05,41.20
53@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.04,45.65,31.40
53@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.80,84.45,64.20
53@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,4.35,225.25,14.70
53@hyperborium_cave_north_from_main_bh_complete.Mountaineye,54@hyperborium_cave_north_from_main_bh_complete.Mountaineye,2.34,63.05,40.90
54@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,4.97,116.15,2.40
54@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,6.81,86.25,5.40
54@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.09,57.35,6.20
54@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,3.57,177.45,1.00
54@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,6.35,77.75,6.50
54@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,6.80,77.85,6.40
54@hyperborium_cave_north_from_main_bh_complete.Mountaineye,55@hyperborium_cave_north_from_main_bh_complete.Mountaineye,6.38,77.95,6.20
55@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.23,3.85,-6.80
55@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.18,156.35,-0.40
55@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,3.39,214.25,0.40
55@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,3.50,117.95,-15.40
55@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.10,67.75,-17.60
55@hyperborium_cave_north_from_main_bh_complete.Mountaineye,56@hyperborium_cave_north_from_main_bh_complete.Mountaineye,1.52,94.05,-22.10
56@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.97,156.35,-4.30
56@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.21,121.95,-3.40
56@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.49,121.25,-3.70
56@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.61,35.55,-22.90
56@hyperborium_cave_north_from_main_bh_complete.Mountaineye,57@hyperborium_cave_north_from_main_bh_complete.Mountaineye,2.45,38.05,-17.20
57@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.31,170.15,27.20
57@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.67,117.75,-15.40
57@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.88,97.55,-7.00
57@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,3.79,84.55,-6.20
57@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.83,54.65,-15.10
57@hyperborium_cave_north_from_main_bh_complete.Mountaineye,58@hyperborium_cave_north_from_main_bh_complete.Mountaineye,5.02,83.15,-9.70
58@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.56,160.85,13.90
58@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.47,146.05,81.10
58@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.18,318.15,-15.10
58@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.54,265.15,-50.20
58@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.46,232.85,6.40
58@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.16,295.55,-4.80
58@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.68,102.05,3.90
58@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.85,78.75,3.90
58@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.86,29.45,8.20
54@hyperborium_cave_north_from_main_bh_complete.Mountaineye,59@hyperborium_cave_north_from_main_bh_complete.Mountaineye,4.58,144.25,1.70
59@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,4.99,276.65,3.90
59@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,3.19,232.65,4.10
59@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,8.17,247.15,-6.30
59@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,23.45,236.25,-2.40
59@hyperborium_cave_north_from_main_bh_complete.Mountaineye,60@hyperborium_cave_north_from_main_bh_complete.Mountaineye,16.27,237.25,-3.60
60@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.22,142.25,9.40
60@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,5.44,192.65,0.40
60@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,0.52,309.65,54.90
60@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,10.26,213.25,0.20
60@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,5.91,228.75,2.20
60@hyperborium_cave_north_from_main_bh_complete.Mountaineye,61@hyperborium_cave_north_from_main_bh_complete.Mountaineye,7.37,180.25,-4.50
61@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.98,300.25,-1.60
61@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,3.11,240.25,4.10
61@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.27,42.35,-10.60
61@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.91,22.65,3.00
61@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,4.83,9.25,2.30
61@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,5.32,56.35,-4.90
61@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.46,90.75,-10.60
61@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,1.72,161.75,-14.30
61@hyperborium_cave_north_from_main_bh_complete.Mountaineye,-,2.47,190.05,0.10
0@MBE_extension.Mountaineye,-,12.26,23.65,9.80
0@MBE_extension.Mountaineye,-,8.23,2.55,9.10
0@MBE_extension.Mountaineye,-,8.89,52.05,14.90
0@MBE_extension.Mountaineye,-,9.21,74.65,10.70
0@MBE_extension.Mountaineye,-,8.28,342.75,0.90
0@MBE_extension.Mountaineye,-,12.89,335.25,2.50
0@MBE_extension.Mountaineye,-,12.78,308.05,1.60
0@MBE_extension.Mountaineye,1@MBE_extension.Mountaineye,7.22,28.65,10.20
1@MBE_extension.Mountaineye,-,3.34,334.85,85.00
1@MBE_extension.Mountaineye,-,0.63,274.05,-62.20
1@MBE_extension.Mountaineye,-,4.08,311.15,9.50
1@MBE_extension.Mountaineye,-,3.41,33.45,20.90
1@MBE_extension.Mountaineye,-,11.39,316.15,-0.50
1@MBE_extension.Mountaineye,-,9.94,5.35,7.20
1@MBE_extension.Mountaineye,-,18.96,328.85,-2.20
1@MBE_extension.Mountaineye,2@MBE_extension.Mountaineye,8.12,334.55,-1.50
2@MBE_extension.Mountaineye,-,1.37,259.85,83.40
2@MBE_extension.Mountaineye,-,1.90,160.25,-72.10
2@MBE_extension.Mountaineye,-,4.33,192.95,0.10
2@MBE_extension.Mountaineye,-,18.84,224.75,-1.10
2@MBE_extension.Mountaineye,-,5.54,292.05,-2.70
2@MBE_extension.Mountaineye,-,4.94,75.15,15.60
2@MBE_extension.Mountaineye,-,4.73,258.65,-4.70
2@MBE_extension.Mountaineye,-,3.64,343.75,-10.30
2@MBE_extension.Mountaineye,-,4.77,0.75,-4.40
2@MBE_extension.Mountaineye,3@MBE_extension.Mountaineye,11.28,11.65,1.50
3@MBE_extension.Mountaineye,-,1.39,319.65,83.10
3@MBE_extension.Mountaineye,-,1.46,146.05,-81.80
3@MBE_extension.Mountaineye,-,9.31,232.15,-1.10
3@MBE_extension.Mountaineye,-,0.29,66.55,17.80
3@MBE_extension.Mountaineye,-,3.30,58.55,11.30
3@MBE_extension.Mountaineye,-,7.93,357.25,6.60
3@MBE_extension.Mountaineye,-,9.34,263.35,-10.30
3@MBE_extension.Mountaineye,4@MBE_extension.Mountaineye,8.38,321.95,1.30
4@MBE_extension.Mountaineye,-,5.04,318.95,8.90
4@MBE_extension.Mountaineye,-,4.46,53.25,8.90
4@MBE_extension.Mountaineye,-,1.28,279.65,82.00
4@MBE_extension.Mountaineye,-,1.21,224.95,-84.60
4@MBE_extension.Mountaineye,-,6.61,227.45,-3.20
4@MBE_extension.Mountaineye,5@MBE_extension.Mountaineye,6.55,222.85,-17.70
5@MBE_extension.Mountaineye,-,1.01,222.65,3.20
5@MBE_extension.Mountaineye,-,6.77,355.95,4.60
5@MBE_extension.Mountaineye,-,18.22,155.35,3.40
5@MBE_extension.Mountaineye,-,1.91,197.45,87.40
5@MBE_extension.Mountaineye,-,0.70,153.05,-76.80
5@MBE_extension.Mountaineye,-,9.53,323.55,9.20
5@MBE_extension.Mountaineye,6@MBE_extension.Mountaineye,9.84,312.85,2.70
6@MBE_extension.Mountaineye,-,5.04,235.95,-4.70
6@MBE_extension.Mountaineye,-,3.23,64.65,-0.10
6@MBE_extension.Mountaineye,-,2.65,216.85,72.70
6@MBE_extension.Mountaineye,-,1.39,316.95,-83.90
6@MBE_extension.Mountaineye,7@MBE_extension.Mountaineye,9.57,313.15,-6.10
7@MBE_extension.Mountaineye,-,9.15,194.65,-7.10
7@MBE_extension.Mountaineye,-,4.43,231.85,-7.80
7@MBE_extension.Mountaineye,-,2.19,53.25,21.60
7@MBE_extension.Mountaineye,-,2.16,86.15,19.80
7@MBE_extension.Mountaineye,-,4.29,64.45,69.80
7@MBE_extension.Mountaineye,-,0.38,195.55,-76.70
7@MBE_extension.Mountaineye,-,3.94,310.95,11.80
7@MBE_extension.Mountaineye,-,4.85,2.35,16.20
7@MBE_extension.Mountaineye,8@MBE_extension.Mountaineye,11.79,329.95,12.30
8@MBE_extension.Mountaineye,-,3.14,207.45,15.20
8@MBE_extension.Mountaineye,-,3.14,9.95,7.00
8@MBE_extension.Mountaineye,-,12.27,239.35,20.50
8@MBE_extension.Mountaineye,-,7.83,320.85,21.60
8@MBE_extension.Mountaineye,-,3.87,268.25,80.60
8@MBE_extension.Mountaineye,-,0.96,5.25,-78.70
8@MBE_extension.Mountaineye,-,4.52,355.55,13.30
8@MBE_extension.Mountaineye,9@MBE_extension.Mountaineye,7.15,228.45,24.00
9@MBE_extension.Mountaineye,-,7.76,275.75,28.10
9@MBE_extension.Mountaineye,-,1.04,243.35,77.70
9@MBE_extension.Mountaineye,-,1.88,256.05,-87.60
9@MBE_extension.Mountaineye,-,10.93,237.85,-23.10
9@MBE_extension.Mountaineye,10@MBE_extension.Mountaineye,5.97,236.65,-28.90
10@MBE_extension.Mountaineye,-,4.57,119.75,-24.40
10@MBE_extension.Mountaineye,-,3.50,98.45,87.50
10@MBE_extension.Mountaineye,-,1.06,19.55,-82.50
10@MBE_extension.Mountaineye,-,6.39,245.65,-9.60
10@MBE_extension.Mountaineye,-,5.99,250.55,-9.70
10@MBE_extension.Mountaineye,-,5.09,250.55,-9.80
10@MBE_extension.Mountaineye,11@MBE_extension.Mountaineye,5.96,250.25,-9.80
11@MBE_extension.Mountaineye,-,0.69,169.35,9.50
11@MBE_extension.Mountaineye,-,3.09,4.45,5.40
11@MBE_extension.Mountaineye,-,1.58,232.15,78.20
11@MBE_extension.Mountaineye,-,0.28,8.35,-53.20
11@MBE_extension.Mountaineye,-,6.31,285.75,11.80
11@MBE_extension.Mountaineye,12@MBE_extension.Mountaineye,4.23,287.65,16.90
12@MBE_extension.Mountaineye,-,6.32,239.05,-0.50
12@MBE_extension.Mountaineye,-,0.65,171.95,-14.70
12@MBE_extension.Mountaineye,-,0.64,348.95,-1.00
12@MBE_extension.Mountaineye,-,0.65,1.25,-86.10
9@MBE_extension.Mountaineye,13@MBE_extension.Mountaineye,11.07,19.45,-1.80
13@MBE_extension.Mountaineye,-,1.00,306.35,10.60
13@MBE_extension.Mountaineye,-,1.70,120.65,11.30
13@MBE_extension.Mountaineye,-,0.29,150.45,82.30
13@MBE_extension.Mountaineye,-,0.92,171.55,-86.40
13@MBE_extension.Mountaineye,-,3.28,14.95,-10.40
13@MBE_extension.Mountaineye,14@MBE_extension.Mountaineye,2.62,57.75,-5.50
14@MBE_extension.Mountaineye,-,2.31,321.45,1.70
14@MBE_extension.Mountaineye,-,4.33,28.15,-19.60
14@MBE_extension.Mountaineye,-,7.43,66.15,-14.10
14@MBE_extension.Mountaineye,-,5.22,115.65,-65.10
14@MBE_extension.Mountaineye,-,5.35,114.85,-59.70
14@MBE_extension.Mountaineye,-,3.33,153.85,8.60
14@MBE_extension.Mountaineye,15@MBE_extension.Mountaineye,4.84,69.55,-10.90
15@MBE_extension.Mountaineye,-,0.41,337.35,23.40
15@MBE_extension.Mountaineye,-,2.51,119.75,19.40
15@MBE_extension.Mountaineye,-,1.37,50.45,81.80
15@MBE_extension.Mountaineye,-,1.75,345.75,-82.90
15@MBE_extension.Mountaineye,16@MBE_extension.Mountaineye,6.36,62.95,8.90
16@MBE_extension.Mountaineye,-,1.61,152.75,-3.40
16@MBE_extension.Mountaineye,-,0.71,127.35,71.80
16@MBE_extension.Mountaineye,-,1.03,43.65,-88.50
16@MBE_extension.Mountaineye,17@MBE_extension.Mountaineye,6.24,64.25,-30.10
17@MBE_extension.Mountaineye,-,0.73,323.65,11.60
17@MBE_extension.Mountaineye,-,0.57,127.75,43.20
17@MBE_extension.Mountaineye,-,0.91,338.55,75.20
17@MBE_extension.Mountaineye,-,0.18,307.95,-72.40
17@MBE_extension.Mountaineye,18@MBE_extension.Mountaineye,4.32,56.45,11.20
18@MBE_extension.Mountaineye,-,1.57,125.05,4.40
18@MBE_extension.Mountaineye,-,3.54,78.65,64.50
18@MBE_extension.Mountaineye,-,0.55,18.05,-1.20
18@MBE_extension.Mountaineye,-,1.11,173.05,-64.20
18@MBE_extension.Mountaineye,19@MBE_extension.Mountaineye,8.67,66.85,6.80
19@MBE_extension.Mountaineye,-,0.74,314.25,-0.80
19@MBE_extension.Mountaineye,-,0.91,176.15,32.10
19@MBE_extension.Mountaineye,-,0.71,284.15,-75.00
19@MBE_extension.Mountaineye,-,1.53,196.85,68.20
19@MBE_extension.Mountaineye,-,3.85,46.75,-10.00
19@MBE_extension.Mountaineye,20@MBE_extension.Mountaineye,2.72,46.15,-7.90
20@MBE_extension.Mountaineye,-,0.29,143.25,-8.30
20@MBE_extension.Mountaineye,-,0.45,249.55,-80.10
20@MBE_extension.Mountaineye,-,0.51,101.15,50.90
20@MBE_extension.Mountaineye,-,0.28,352.65,-13.10
20@MBE_extension.Mountaineye,-,1.11,46.55,1.50
20@MBE_extension.Mountaineye,-,2.17,45.55,5.50
20@MBE_extension.Mountaineye,21@MBE_extension.Mountaineye,2.23,48.25,6.20
21@MBE_extension.Mountaineye,-,1.53,110.75,20.40
21@MBE_extension.Mountaineye,-,2.72,87.75,19.20
21@MBE_extension.Mountaineye,-,1.71,67.85,17.60
21@MBE_extension.Mountaineye,-,0.42,102.85,80.00
21@MBE_extension.Mountaineye,-,0.58,91.45,-78.40
21@MBE_extension.Mountaineye,-,1.27,259.25,-2.20
21@MBE_extension.Mountaineye,-,2.19,302.35,-0.90
21@MBE_extension.Mountaineye,-,4.55,355.45,1.50
21@MBE_extension.Mountaineye,22@MBE_extension.Mountaineye,2.77,89.45,17.30
22@MBE_extension.Mountaineye,-,0.82,345.85,-7.70
22@MBE_extension.Mountaineye,-,0.57,323.65,86.40
22@MBE_extension.Mountaineye,-,0.59,333.65,-82.70
22@MBE_extension.Mountaineye,23@MBE_extension.Mountaineye,3.71,41.75,-20.50
23@MBE_extension.Mountaineye,-,0.80,153.85,-2.50
23@MBE_extension.Mountaineye,-,0.38,168.95,62.90
23@MBE_extension.Mountaineye,-,0.28,301.65,-86.80
23@MBE_extension.Mountaineye,-,3.18,71.45,10.00
